,Class,NER
4912,GPE,大樹區
4903,GPE,前金區
35733,GPE,高雄市體育處
5027,GPE,台 南市
7376,GPE,高屏
33941,GPE,梓官鄉
6048,GPE,那瑪夏區
32914,GPE,瑞興國
32919,GPE,鳳山瑞興國
6828,GPE,大同國
6822,GPE,高雄市市中心
32966,GPE,台灣區
32981,GPE,MD
32990,GPE,信誼
6796,GPE,南崁
6768,GPE,桃市
6747,GPE,投縣埔
6745,GPE,苗縣
6697,GPE,桃 市南崁
6671,GPE,北投
6670,GPE,北市北投
6647,GPE,台東
33023,GPE,竹市
6627,GPE,澎湖
6618,GPE,馬祖
33058,GPE,宜蘭縣長
6850,GPE,台灣隊
6856,GPE,英國
6871,GPE,美國隊
6885,GPE,日籍
32190,GPE,黃昏市場
32212,GPE,澄和
7283,GPE,文化中心
7244,GPE,左營眷村
7243,GPE,左營
7211,GPE,左營自治新村
7208,GPE,眷村
7204,GPE,高雄市眷村
7189,GPE,兩岸
33195,GPE,馬里蘭
32568,GPE,小英高雄
6993,GPE,臺中市
6984,GPE,宜蘭縣
6977,GPE,高 雄市
32615,GPE,三民區建興路市
6967,GPE,花蓮縣
32700,GPE,蘇格蘭
32710,GPE,馬雅
32756,GPE,萬丹鄉
32791,GPE,萬丹
7111,GPE,高雄選區
33926,GPE,三民區寶業里
33232,GPE,連江縣長
33266,GPE,前鎮區草衙
33540,GPE,希臘
6240,GPE,福營
33551,GPE,羅馬
33560,GPE,德意志
33561,GPE,波斯頓
33577,GPE,高雄曼哈頓
6210,GPE,苗縣通霄
6208,GPE,桃市南崁
33583,GPE,新加坡聖淘沙
33642,GPE,保生
6181,GPE,高市五福
6180,GPE,五福
6179,GPE,新北秀峰
33715,GPE,河堤國
6148,GPE,新北福營
6145,GPE,埔里
6142,GPE,投縣埔里
6099,GPE,越方
6051,GPE,臺南市
33538,GPE,西藏
33514,GPE,義大利
6285,GPE,原東
33511,GPE,Boston
6503,GPE,嘉義
6493,GPE,埔里地母廟
6485,GPE,南投集集
6465,GPE,仁武
6451,GPE,台中市
33376,GPE,廣州
6424,GPE,佛公國
6423,GPE,大汕
6421,GPE,中洲
33242,GPE,三民區灣字里別
6408,GPE,旗津國
6396,GPE,金 山
33430,GPE,大旗山
6381,GPE,瓊林里
6356,GPE,燕巢區
6328,GPE,高雄內門
6322,GPE,順賢宮
6315,GPE,內門
33503,GPE,邊疆
33507,GPE,新疆
6403,GPE,旗津區
6439,GPE,雙北市
25790,GPE,楠梓泉區
9242,GPE,嘉義市
20645,GPE,鳳山五甲社區
20736,GPE,香港行
14464,GPE,飛雁新村
20880,GPE,陳金德副市長
14379,GPE,小林村
21017,GPE,基隆
21054,GPE,桃 源
21056,GPE,桃源居
14248,GPE,菲國
14233,GPE,茄萣區
14214,GPE,高雄市苓雅區
14190,GPE,茄萣
21099,GPE,那瑪夏
21101,GPE,桃源
14150,GPE,大岡山區
21106,GPE,南橫
14129,GPE,高雄市縣
21256,GPE,鼓山 區
13921,GPE,永安國
13908,GPE,嘉義縣市
13888,GPE,屏縣
20596,GPE,瑞豐夜市
20572,GPE,斗六
20568,GPE,新莊
20562,GPE,天母
20051,GPE,湖北
20130,GPE,汶山
20138,GPE,大陸四川
20157,GPE,江西省
20198,GPE,鷹潭市
14959,GPE,三清道德宮
20217,GPE,大興
20256,GPE,大高雄
20265,GPE,大陸湖北
20270,GPE,日本海嘯
21361,GPE,九州
14941,GPE,高樹
20317,GPE,衛福部南區
20321,GPE,漢堡
20347,GPE,田寮區
14785,GPE,南非
14774,GPE,馬斯開特市中心
20367,GPE,彌陀區
14736,GPE,阿曼市中心
20392,GPE,高雄市林園
20408,GPE,楠梓區清豐里
20553,GPE,新竹
20316,GPE,左楠
14990,GPE,台南巿
13881,GPE,南市
13833,GPE,駐華
13315,GPE,彌陀
22094,GPE,魯凱
22105,GPE,台日籍
13285,GPE,旗津區長
13258,GPE,港埔
13233,GPE,林園鄉
22202,GPE,高雄市區
22214,GPE,三地門
22280,GPE,鼓鹽
13163,GPE,客庄
13158,GPE,內埔
13103,GPE,甲南里
13097,GPE,甲昌
13093,GPE,甲北里
13026,GPE,高女
13004,GPE,臺灣區
12928,GPE,高雄大學區
12891,GPE,文山特區
12885,GPE,鳳青重
12864,GPE,東高雄
22630,GPE,新竹縣
13338,GPE,北高雄
22091,GPE,墨西哥
13367,GPE,大同
13374,GPE,高雄市左營區
21364,GPE,日本九州
13769,GPE,衛武
21445,GPE,虎尾
13734,GPE,Al Jazira
13728,GPE,巴林王國
13717,GPE,阿曼王國
13716,GPE, 門
13706,GPE,巴林
13704,GPE,台灣高雄
13667,GPE,高雄路竹區
21362,GPE,九洲
21607,GPE,高市府
13598,GPE,桃源寶山
21777,GPE,興山里
21778,GPE,高雄市大樹區興山里
21801,GPE,高雄市大樹區
13451,GPE,佳里
13438,GPE,金門縣長
13435,GPE,中正
13419,GPE,台南市將軍區
22048,GPE,台東籍
13411,GPE,臺北布莊
21629,GPE,茂管
14992,GPE,水里
14995,GPE,江西
19864,GPE,仁武區八卦里
17321,GPE,樹德
